DATE,TIME,AX,AY,AZ,GX,GY,GZ,TEMP_C
8/0/122,0:11:30,0.8374,0.0415,0.5436,24.0800,31.4300,23.8700,26.45
8/0/122,0:11:31,0.4870,-0.0049,0.8969,7.4200,-2.5200,58.2400,26.50
8/0/122,0:11:32,0.5719,0.0142,0.8462,2.5900,0.7700,2.9400,26.49
8/0/122,0:11:33,0.5754,0.0112,0.8579,1.5400,1.6100,1.2600,26.48
8/0/122,0:11:34,0.5749,0.0322,0.8423,-8.3300,2.7300,-1.5400,26.46
8/0/122,0:11:36,0.5485,-0.0888,0.8438,-3.5700,-1.6100,3.0100,26.40
8/0/122,0:11:37,0.5461,-0.0776,0.8667,-6.4400,3.2200,5.8100,26.47
8/0/122,0:11:38,0.5563,-0.1049,0.8457,-0.7700,-0.1400,-0.5600,26.43
8/0/122,0:11:39,0.4202,-0.3587,0.8613,-17.4300,6.4400,5.2500,26.39
8/0/122,0:11:40,0.3899,-0.5217,0.7915,1.1200,1.1200,4.2700,26.42
8/0/122,0:11:41,0.3987,-0.5441,0.7979,5.2500,1.6800,-6.3000,26.39
8/0/122,0:11:42,0.2333,-0.2420,0.9223,35.3500,-33.1800,-24.9900,26.38
8/0/122,0:11:44,0.2704,-0.2577,0.9350,-0.4200,2.0300,-2.5900,26.38
8/0/122,0:11:45,0.6603,-0.5998,0.4348,-74.6200,-100.3100,-18.9000,26.37
8/0/122,0:11:46,0.7676,-0.0795,0.6471,119.5600,19.8100,-70.7000,26.37
8/0/122,0:11:47,0.4817,0.6734,0.5890,-5.1100,5.3900,-4.2700,26.37
8/0/122,0:11:48,0.4441,0.6329,0.6798,-2.4500,3.5700,-3.0100,26.37
